XPATH,n,VARIABLE_NAME,DESCRIPTION,LOCATION,VERSION,REQUIRED,NOTES,FLAG,Analyst,Kevin's Notes
/Return/ReturnData/IRS990/DAFExcessBusinessHoldingsInd,2,F9-PC-05-DAFEXCESS,Donor advised fund have excess business holdings?,F990-PC-PART-05-LINE-8,2014v5.0; 2014v6.0; 2015v2.0; 2015v2.1; 2015v3.0,FALSE,,FALSE,Dietz & Tran,
/Return/ReturnData/IRS990/ExcessBusinessHoldings,2,F9-PC-05-DAFEXCESS,Donor advised fund have excess business holdings?,F990-PC-PART-05-LINE-8,2008v2.0; 2008v2.1; 2008v2.10; 2008v2.11; 2008v2.12; 2008v2.13; 2008v2.14; 2008v2.2; 2008v2.3; 2008v2.4; 2008v2.5; 2008v2.6; 2008v2.7; 2008v2.8; 2008v2.9; 2009v1.0; 2009v1.1; 2009v1.10; 2009v1.2; 2009v1.3; 2009v1.4; 2009v1.5; 2009v1.6; 2009v1.7; 2009v1.8; 2009v1.9; 2010v1.0; 2010v2.0; 2010v3.0; 2010v3.1; 2010v3.2; 2010v3.3; 2010v3.4; 2010v3.5; 2010v3.6; 2010v3.7,FALSE,,FALSE,Dietz & Tran,
/Return/ReturnData/IRS990/ExcessBusinessHoldingsInd,2,F9-PC-05-DAFEXCESS,Donor advised fund have excess business holdings?,F990-PC-PART-05-LINE-8,2013v2.0; 2013v3.0; 2013v3.1; 2013v4.0,FALSE,,FALSE,Dietz & Tran,
/Return/ReturnData/IRS990EZ/GrantsAndSimilarAmountsPaidAmt,2,F9-EZ-09-GRANTSPAID,Total Grants to Domestic Orgs and Governments,F990-EZ-PART-01-LINE-10,2013v2.0; 2013v3.0; 2013v3.1; 2013v4.0; 2014v5.0; 2014v6.0; 2015v2.0; 2015v2.1; 2015v3.0,FALSE,"Is a composite of F990 lines 1,2 , and 3 Col A",FALSE,Cowardin,
/Return/ReturnData/IRS990EZ/InvestmentIncome,2,F9-PZ-08-INVINCTOTREV,Invest income,F990-EZ-PART-01-LINE-04,2003V21; 2004v1.0; 2005v3.0; 2005v3.1; 2005v3.2; 2005v3.3; 2005v4.0; 2005v4.1; 2006v3.0; 2006v3.1; 2006v3.2; 2006v3.3; 2006v4.0; 2006v4.1; 2006v4.2; 2006v4.3; 2006v4.4; 2007v1.0; 2007v1.1; 2007v2.0; 2007v2.1; 2007v2.10; 2007v2.11; 2007v2.12; 2007v2.13; 2007v2.14; 2007v2.2; 2007v2.3; 2007v2.4; 2007v2.5; 2007v2.6; 2007v2.7; 2007v2.8; 2007v2.9; 2008v1.0; 2008v2.0; 2008v2.1; 2008v2.10; 2008v2.11; 2008v2.12; 2008v2.13; 2008v2.14; 2008v2.2; 2008v2.3; 2008v2.4; 2008v2.5; 2008v2.6; 2008v2.7; 2008v2.8; 2008v2.9; 2009v1.0; 2009v1.1; 2009v1.10; 2009v1.2; 2009v1.3; 2009v1.4; 2009v1.5; 2009v1.6; 2009v1.7; 2009v1.8; 2009v1.9; 2010v1.0; 2010v2.0; 2010v3.0; 2010v3.1; 2010v3.2; 2010v3.3; 2010v3.4; 2010v3.5; 2010v3.6; 2010v3.7,FALSE,,FALSE,Doyle & Ward,
/Return/ReturnData/IRS990EZ/InvestmentIncomeAmt,2,F9-PZ-08-INVINCTOTREV,Invest income,F990-EZ-PART-01-LINE-04,2013v2.0; 2013v3.0; 2013v3.1; 2013v4.0; 2014v5.0; 2014v6.0; 2015v2.0; 2015v2.1; 2015v3.0,FALSE,,FALSE,Doyle & Ward,
/Return/ReturnData/IRS990EZ/PrimaryExemptPurpose,2,F9-PZ-03-ORGMISS,Organization mission,F990-EZ-PART-03-LINE-00-1,,FALSE,"IRS instructions use ""mission"", ""activity"" and ""exempt purpose"" inconsistently. We have assumed all the same.",FALSE,Thompson & Schuman,
/Return/ReturnData/IRS990EZ/PrimaryExemptPurposeTxt,2,F9-PZ-03-ORGMISS,Organization mission,F990-EZ-PART-03-LINE-00-1,,FALSE,"IRS instructions use ""mission"", ""activity"" and ""exempt purpose"" inconsistently. We have assumed all the same.",FALSE,Thompson & Schuman,
/Return/ReturnData/IRS990EZ/ProgramServiceRevenue,2,F9-PZ-01-PROGSERREVCY,ProgramServiceRevenue,F990-EZ-PART-01-LINE-02,,FALSE,,FALSE,Thompson & Schuman,
/Return/ReturnData/IRS990EZ/ProgramServiceRevenueAmt,2,F9-PZ-01-PROGSERREVCY,ProgramServiceRevenue,F990-EZ-PART-01-LINE-02,,FALSE,,FALSE,Thompson & Schuman,
/Return/ReturnData/IRS990EZ/SumOfTotalLiabilities/BOY,2,F9-PZ-10-TOTALLIABSBOY,"Total liabilities, beginning of year",F990-EZ-PART-02-LINE-26-BOY,2003V21; 2004v1.0; 2005v3.0; 2005v3.1; 2005v3.2; 2005v3.3; 2005v4.0; 2005v4.1; 2006v3.0; 2006v3.1; 2006v3.2; 2006v3.3; 2006v4.0; 2006v4.1; 2006v4.2; 2006v4.3; 2006v4.4; 2007v1.0; 2007v1.1; 2007v2.0; 2007v2.1; 2007v2.10; 2007v2.11; 2007v2.12; 2007v2.13; 2007v2.14; 2007v2.2; 2007v2.3; 2007v2.4; 2007v2.5; 2007v2.6; 2007v2.7; 2007v2.8; 2007v2.9; 2008v1.0; 2008v2.0; 2008v2.1; 2008v2.10; 2008v2.11; 2008v2.12; 2008v2.13; 2008v2.14; 2008v2.2; 2008v2.3; 2008v2.4; 2008v2.5; 2008v2.6; 2008v2.7; 2008v2.8; 2008v2.9; 2009v1.0; 2009v1.1; 2009v1.10; 2009v1.2; 2009v1.3; 2009v1.4; 2009v1.5; 2009v1.6; 2009v1.7; 2009v1.8; 2009v1.9; 2010v1.0; 2010v2.0; 2010v3.0; 2010v3.1; 2010v3.2; 2010v3.3; 2010v3.4; 2010v3.5; 2010v3.6; 2010v3.7,FALSE,"Min occurance is 0, but seems odd",TRUE,Struck,
/Return/ReturnData/IRS990EZ/SumOfTotalLiabilitiesGrp/BOYAmt,2,F9-PZ-10-TOTALLIABSBOY,"Total liabilities, beginning of year",F990-EZ-PART-02-LINE-26-BOY,2013v2.0; 2013v3.0; 2013v3.1; 2013v4.0; 2014v5.0; 2014v6.0; 2015v2.0; 2015v2.1; 2015v3.0,FALSE,"Min occurance is 0, but seems odd",TRUE,Struck,
/Return/ReturnData/IRS990EZ/TotalAssets/BOY,2,F9-PZ-10-TOTALASSETSBOY,"Total assets, beginning of year",F990-EZ-PART-02-LINE-25-BOY,2006v3.0; 2006v3.1; 2006v3.2; 2006v3.3; 2006v4.0; 2006v4.1; 2006v4.2; 2006v4.3; 2006v4.4; 2007v1.0; 2007v1.1; 2007v2.0; 2007v2.1; 2007v2.10; 2007v2.11; 2007v2.12; 2007v2.13; 2007v2.14; 2007v2.2; 2007v2.3; 2007v2.4; 2007v2.5; 2007v2.6; 2007v2.7; 2007v2.8; 2007v2.9; 2008v1.0; 2008v2.0; 2008v2.1; 2008v2.10; 2008v2.11; 2008v2.12; 2008v2.13; 2008v2.14; 2008v2.2; 2008v2.3; 2008v2.4; 2008v2.5; 2008v2.6; 2008v2.7; 2008v2.8; 2008v2.9; 2009v1.0; 2009v1.1; 2009v1.10; 2009v1.2; 2009v1.3; 2009v1.4; 2009v1.5; 2009v1.6; 2009v1.7; 2009v1.8; 2009v1.9; 2010v1.0; 2010v2.0; 2010v3.0; 2010v3.1; 2010v3.2; 2010v3.3; 2010v3.4; 2010v3.5; 2010v3.6; 2010v3.7,TRUE,,FALSE,Struck,
/Return/ReturnData/IRS990/MissionDesc,2,F9-PZ-03-MISSIONDESC,Organization's Mission/Organization's primary exempt purpose,F990-PC-PART-03-LINE-01,2013v2.0; 2013v3.0; 2013v3.1; 2013v4.0; 2014v5.0; 2014v6.0; 2015v2.0; 2015v2.1; 2015v3.0,FALSE,Should be similar to Part I,FALSE,Barr & Bogucki,
/Return/ReturnData/IRS990/MissionDescription,2,F9-PZ-03-MISSIONDESC,Organization's Mission/Organization's primary exempt purpose,F990-PC-PART-03-LINE-01,2008v2.0; 2008v2.1; 2008v2.10; 2008v2.11; 2008v2.12; 2008v2.13; 2008v2.14; 2008v2.2; 2008v2.3; 2008v2.4; 2008v2.5; 2008v2.6; 2008v2.7; 2008v2.8; 2008v2.9; 2009v1.0; 2009v1.1; 2009v1.10; 2009v1.2; 2009v1.3; 2009v1.4; 2009v1.5; 2009v1.6; 2009v1.7; 2009v1.8; 2009v1.9; 2010v1.0; 2010v2.0; 2010v3.0; 2010v3.1; 2010v3.2; 2010v3.3; 2010v3.4; 2010v3.5; 2010v3.6; 2010v3.7,FALSE,Should be similar to Part I,FALSE,Barr & Bogucki,
/Return/ReturnData/IRS990/NetAssetsOrFundBalancesEOY,2,F9-PZ-01-NETASSFNDBALEOY,"Net Assets or Fund Balances, EOY",F990-PC-PART-01-LINE-22,,FALSE,,FALSE,Thompson & Schuman,
