Year,Xpath,Type,Description,Line,MinOccur,MaxOccur
2010,/Return/ReturnData/IRS990ScheduleJ/Form990ScheduleJPartII/CompBasedOnRelatedOrgs,USAmountType,Compensation based on related organizations?,Part II Column (B)(i) ,0,
2010,/Return/ReturnData/IRS990ScheduleJ/WrittenEmploymentContract,CheckboxType,Written employment contract,Part I Line 3,0,
2010,/Return/ReturnData/IRS990ScheduleJ/Form990ScheduleJPartII/DeferredCompFilingOrg,USAmountType,Deferred compensation ($) from filing organization,Part II Column (C),0,
2010,/Return/ReturnData/IRS990ScheduleJ/CompensationSurvey,CheckboxType,Compensation survey,Part I Line 3,0,
2010,/Return/ReturnData/IRS990ScheduleJ/Form990ScheduleJPartII/TotalCompensationRelatedOrgs,USAmountType,"Total of (B)(i) - (D), from related orgs",Part II Column (E),0,
2010,/Return/ReturnData/IRS990ScheduleJ/Form990ScheduleJPartII/CompReportPrior990FilingOrg,USAmountType,Comp reported prior 990 - from filing org,Part II Column (F),0,
2010,/Return/ReturnData/IRS990ScheduleJ/TravelForCompanions,CheckboxType,Travel for companions,Part I Line 1a,0,
2010,/Return/ReturnData/IRS990ScheduleJ/IndependentConsultant,CheckboxType,Independent consultant,Part I Line 3,0,
2010,/Return/ReturnData/IRS990ScheduleJ/ClubDuesOrFees,CheckboxType,Club dues or fees,Part I Line 1a,0,
2010,/Return/ReturnData/IRS990ScheduleJ/AnyNonFixedPayments,BooleanType,Any non-fixed payments?,Part I Line 7,0,
2010,/Return/ReturnData/IRS990ScheduleJ/PaymentsForUseOfResidence,CheckboxType,Payments for use of residence,Part I Line 1a,0,
2010,/Return/ReturnData/IRS990ScheduleJ/SupplementalNonqualRetirePlan,BooleanType,Supplemental nonqualified retirement plan?,Part I Line 4b,0,
2010,/Return/ReturnData/IRS990ScheduleJ/Form990ScheduleJPartII/NontaxableBenefitsRelatedOrgs,USAmountType,Nontaxable benefits ($) from related organizations,Part II Column (D),0,
2010,/Return/ReturnData/IRS990ScheduleJ/SeverancePayment,BooleanType,Severance payment?,Part I Line 4a,0,
2010,/Return/ReturnData/IRS990ScheduleJ/Form990ScheduleJPartIII/Identifier,LineExplanationType,Identifier,Part III,0,
2010,/Return/ReturnData/IRS990ScheduleJ/Form990OfOtherOrganizations,CheckboxType,Form 990 of other organizations,Part I Line 3,0,
2010,/Return/ReturnData/IRS990ScheduleJ/IdemnificationGrossUpPayments,CheckboxType,Idemnification and gross-up payments,Part I Line 1a,0,
2010,/Return/ReturnData/IRS990ScheduleJ/Form990ScheduleJPartII/BaseCompensationFilingOrg,USAmountType,Base compensation ($) from filing organization,Part II Column (B)(i),0,
2010,/Return/ReturnData/IRS990ScheduleJ/Form990ScheduleJPartII/OtherCompensationRelatedOrgs,USAmountType,Other compensation ($) from related organizations,Part II Column (B)(iii),0,
2010,/Return/ReturnData/IRS990ScheduleJ/SubstantiationRequired,BooleanType,Substantiation required?,Part I Line 2,0,
2010,/Return/ReturnData/IRS990ScheduleJ/WrittenPolicyReTAndEExpenses,BooleanType,Written policy reference T and E expenses?,Part I Line 1b,0,
2010,/Return/ReturnData/IRS990ScheduleJ/Form990ScheduleJPartII/CompReportPrior990RelatedOrgs,USAmountType,Comp reported prior 990 - from related orgs,Part II Column (F),0,
2010,/Return/ReturnData/IRS990ScheduleJ/CompBasedOnRevenueOfFilingOrg,BooleanType,Compensation based on revenue of filing org?,Part I Line 5a,0,
2010,/Return/ReturnData/IRS990ScheduleJ/Form990ScheduleJPartII/BonusRelatedOrgs,USAmountType,Bonus and incentive compensation ($) from related organizations,Part II Column (B)(ii) ,0,
2010,/Return/ReturnData/IRS990ScheduleJ/CompBasedOnRevenueRelatedOrgs,BooleanType,Compensation based on revenue of related orgs?,Part I Line 5b,0,
2010,/Return/ReturnData/IRS990ScheduleJ/PersonalServices,CheckboxType,Personal services,Part I Line 1a,0,
2010,/Return/ReturnData/IRS990ScheduleJ/BoardOrCommitteeApproval,CheckboxType,Board or committee approval,Part I Line 3,0,
2010,/Return/ReturnData/IRS990ScheduleJ/Form990ScheduleJPartIII/ReturnReference,LineExplanationType,Return reference,Part III,0,
2010,/Return/ReturnData/IRS990ScheduleJ/InitialContractException,BooleanType,Initial contract exception?,Part I Line 8,0,
2010,/Return/ReturnData/IRS990ScheduleJ/FirstClassOrCharterTravel,CheckboxType,First class or charter travel,Part I Line 1a,0,
2010,/Return/ReturnData/IRS990ScheduleJ/Form990ScheduleJPartII/NamePerson,PersonNameType,Name of officer - person,Part II Column (A),,
2010,/Return/ReturnData/IRS990ScheduleJ/Form990ScheduleJPartII/TotalCompensationFilingOrg,USAmountType,"Total of (B)(i) - (D), from filing org",Part II Column (E),0,
2010,/Return/ReturnData/IRS990ScheduleJ/CompBasedNetEarningsRelateOrgs,BooleanType,Compensation based on net earnings of related orgs?,Part I Line 6b,0,
2010,/Return/ReturnData/IRS990ScheduleJ/Form990ScheduleJPartII/DeferredCompRelatedOrgs,USAmountType,Deferred compensation ($) from related organizations,Part II Column (C),0,
2010,/Return/ReturnData/IRS990ScheduleJ/Form990ScheduleJPartII/BonusFilingOrg,USAmountType,Bonus and incentive compensation ($) from filing organization,Part II Column (B)(ii),0,
2010,/Return/ReturnData/IRS990ScheduleJ/HousingAllowanceOrResidence,CheckboxType,Housing allowance or residence,Part I Line 1a,0,
2010,/Return/ReturnData/IRS990ScheduleJ/Form990ScheduleJPartIII/Explanation,ExplanationType,Explanation,Part III,0,
2010,/Return/ReturnData/IRS990ScheduleJ/DiscretionarySpendingAccount,CheckboxType,Discretionary spending account,Part I Line 1a,0,
2010,/Return/ReturnData/IRS990ScheduleJ/Form990ScheduleJPartII/NontaxableBenefitsFilingOrg,USAmountType,Nontaxable benefits ($) from filing organization,Part II Column (D),0,
